t N Q dS dP0 dP1 dP2 dR1 dR2 dA1 dA2 S P0 P1 P2 R1 R2 A1 A2
82 200 8 -0.0490134576501005 -4.20332216408271 0 3.5927599834654 -0.21918008759819 0.646826241217699 -0.00909730310754053 -0.048511421783214 6.24137752537563 83.1233381769336 0 59.6679080318182 7.8202032502942 20.8902329132686 4.38721065284865 0.158604848770821
83 200 8 -0.0382470160131794 -3.94516196256929 0 3.3989610790934 -0.15108984739397 0.578217119568301 -0.0078652930787797 -0.0375828807423512 6.19236406772553 78.9200160128509 0 63.2606680152836 7.60102316269601 21.5370591544863 4.37811334974111 0.110093426987607
84 200 8 -0.0359696081624099 -4.47420634909871 0.0029859909836171 3.892960820845 -0.1065184040802 0.614372312720597 -0.00946270701065011 -0.0347377033990216 6.15411705171235 74.9748540502816 0 66.659629094377 7.44993331530204 22.1152762740546 4.37024805666233 0.0725105462452558
85 200 8 -0.0305958541870703 -4.61519365919659 0.0345440222459952 4.0550835522799 -0.0460777436272304 0.582268252768102 -0.00970201293061024 -0.0284789309301604 6.11814744354994 70.5006477011829 0.0029859909836171 70.552589915222 7.34341491122184 22.7296485867752 4.36078534965168 0.0377728428462342
86 200 8 -0.0241049186198703 -4.31508451610831 0.0421842423338581 3.82084022570351 0.000667638396979697 0.4953548481413 -0.00706403664863942 -0.00929391191607376 6.08755158936287 65.8854540419863 0.0375300132296123 74.6076734675019 7.29733716759461 23.3119168395433 4.35108333672107 0.00929391191607376
87 200 8 -0.0231962486258697 -4.8674525584665 0.0598473463390306 4.3418602952663 0.0265877530537901 0.501960042552298 -0.00257545689064997 0 6.063446670743 61.570369525878 0.0797142555634704 78.4285136932054 7.29800480599159 23.8072716876846 4.34401930007243 0
88 200 8 -0.0183978697245202 -4.5182909012666 0.067713440282005 4.0653850574861 0.0265837477030004 0.413837157265601 0.00495095209346985 0 6.04025042211713 56.7029169674115 0.139561601902501 82.7703739884717 7.32459255904538 24.3092317302369 4.34144384318178 0
89 200 8 -0.01763057596352 -5.05076912206 0.089749922512399 4.5899039738555 0.0126437839789801 0.4068547080768 0.0153271682008898 0 6.02185255239261 52.1846260661449 0.207275042184506 86.8357590459578 7.35117630674838 24.7230688875025 4.34639479527525 0
90 200 8 -0.0152874308132898 -5.1159039895499 0.105424281782719 4.6965447115012 -0.0160732702328907 0.356964199317801 0.0261318286679399 0 6.00422197642909 47.1338569440849 0.297024964696905 91.4256630198133 7.36382009072736 25.1299235955793 4.36172196347614 0
91 200 8 -0.0122047510437797 -4.6974565548833 0.107994806342575 4.3426104373785 -0.04202750193038 0.288773611025501 0.0322891589065897 0 5.9889345456158 42.017952954535 0.402449246479624 96.1222077313145 7.34774682049447 25.4868877948971 4.38785379214408 0
92 200 8 -0.01192864600538 -5.2130577101055 0.128985106124203 4.833421943369 -0.0723795517735493 0.291906018341599 0.0428485557610703 0 5.97672979457202 37.3204963996517 0.510444052822199 100.464818168693 7.30571931856409 25.7756614059226 4.42014295105067 0
93 200 8 -0.0097881988117603 -4.7746310678991 0.123603744514904 4.427059349782 -0.0842439869828402 0.2526955127042 0.0435244347008803 0 5.96480114856664 32.1074386895462 0.639429158946402 105.298240112062 7.23333976679054 26.0675674242642 4.46299150681174 0
94 200 8 -0.00992185410385016 -5.2781462432684 0.140981237052059 4.894203178884 -0.10560380067598 0.273720442725597 0.0504676311521202 0 5.95501294975488 27.3328076216471 0.763032903461306 109.725299461844 7.1490957798077 26.3202629369684 4.50651594151262 0
95 200 8 -0.00932668068552012 -5.2882011552529 0.145248247229055 4.9129579148 -0.11051900484925 0.278487837677602 0.0508101215464594 0 5.94509109565103 22.0546613783787 0.904014140513365 114.619502640728 7.04349197913172 26.593983379694 4.55698357266474 0
96 200 8 -0.00817210398153989 -4.8066379443747 0.13525911425243 4.47616671147 -0.100187620007341 0.2628712992977 0.0453470469097406 0 5.93576441496551 16.7664602231258 1.04926238774242 119.532460555528 6.93297297428247 26.8724712173716 4.6077936942112 0
97 200 8 -0.00882721667456021 -5.28553596248626 0.15159203899229 4.92593810511501 -0.108730815318119 0.300334417021201 0.0488516034698394 0 5.92759231098397 11.9598222787511 1.18452150199485 124.008627266998 6.83278535427513 27.1353425166693 4.65314074112094 0
98 200 8 -0.00877498296843005 -5.28598445871443 0.15299746025014 4.92405154302199 -0.10807463328714 0.305897351590797 0.0484188745116603 0 5.90999011134098 1.38830185755041 1.48911100123728 133.858616915135 6.61597990566987 27.7415742852813 4.75041121910244 0
