"S","A1","A2","P1","P2","R1","R2","t","Q","N"
13.8354139905195,5.79106569586967,1.7930794047422,4.02374760310707e-08,0.000415415059268572,3.11079747155295,18.0063818526936,527,8,200
13.7658191830717,5.79803154527009,1.77066229696838,4.02374760310707e-08,0.000418714370113348,3.06910231549595,18.1168373383115,528,8,200
13.6962742004818,5.8049463482164,1.74788781830752,4.02374760310707e-08,0.000422033900786607,3.02661535791705,18.2278663867624,529,8,200
13.6267787553305,5.81180969804686,1.72475418657347,4.02374760310707e-08,0.000425373756782617,2.98333469753898,18.3394747145139,530,8,200
13.5573325937759,5.81862118589706,1.70125935102102,4.02374760310707e-08,0.000428734044643289,2.93925757537627,18.4516680742875,531,8,200
13.487935497586,5.82538040039372,1.67740096360378,4.02374760310707e-08,0.000432114871968096,2.89438028986422,18.5644522732467,532,8,200
13.4185872858116,5.832086927315,1.65317635291291,4.02374760310707e-08,0.00043551634742757,2.84869812134841,18.6778331926879,533,8,200
13.3492878160785,5.83874034922037,1.62858250123962,4.02374760310707e-08,0.000438938580780631,2.80220526727361,18.7918168090522,534,8,200
13.280036985475,5.84534024505351,1.60361602518299,4.02374760310707e-08,0.000442381682895942,2.75489478933,18.9064092160497,535,8,200
13.2108347310229,5.85188618972239,1.57827316019587,4.02374760310707e-08,0.000445845765777456,2.7067585737109,19.0216166476651,536,8,200
13.141681029719,5.85837775366107,1.55254974942547,4.02374760310707e-08,0.000449330942594264,2.65778730551032,19.1374455017913,537,8,200
13.0725758981433,5.86481450237804,1.52644123716215,4.02374760310707e-08,0.000452837327714817,2.60797045814011,19.2539023642182,538,8,200
13.0035193916349,5.87119599599657,1.4999426671594,4.02374760310707e-08,0.00045636503674552,2.55729629847746,19.3709940326879,539,8,200
12.9345116030417,5.8775217887926,1.47304868603105,4.02374760310707e-08,0.000459914186573674,2.50575190826367,19.4887275407153,540,8,200
12.8655526610583,5.88379142873605,1.44575355186825,4.02374760310707e-08,0.00046348489541465,2.45332322206712,19.6071101808612,541,8,200
12.7966427281711,5.89000445704171,1.41805114814968,4.02374760310707e-08,0.000467077282863145,2.39999508189824,19.7261495271418,542,8,200
12.7277819982385,5.89616040773574,1.38993500294392,4.02374760310707e-08,0.000470691469948304,2.34575130832559,19.8458534562561,543,8,200
12.6589706937369,5.90225880724399,1.36139831332473,4.02374760310707e-08,0.000474327579192439,2.29057478769094,19.9662301673159,544,8,200
12.5902090627149,5.90829917400821,1.33243397483747,4.02374760310707e-08,0.000477985734673004,2.23444757476194,20.0872881997728,545,8,200
12.5214973754992,5.91428101813618,1.30303461577112,4.02374760310707e-08,0.000481666062087463,2.17735100989638,20.2090364492482,546,8,200
