A, S, R, P, C,
0.0       , 12.9313   , 21.19122  , 0.56026   , 210.42597 , 
0.0       , 12.83806  , 21.28401  , 0.462     , 210.50736 , 
0.0       , 12.74514  , 21.37647  , 0.3806    , 210.57467 , 
0.0       , 12.65255  , 21.4686   , 0.31328   , 210.63025 , 
0.0       , 12.56029  , 21.5604   , 0.2577    , 210.67609 , 
0.0       , 12.46836  , 21.65187  , 0.21186   , 210.71386 , 
0.0       , 12.37677  , 21.743    , 0.17409   , 210.74494 , 
0.0       , 12.28553  , 21.83378  , 0.143     , 210.77052 , 
0.0       , 12.19462  , 21.92422  , 0.11743   , 210.79154 , 
0.0       , 12.10407  , 22.01431  , 0.0964    , 210.80882 , 
0.0       , 12.01386  , 22.10405  , 0.07913   , 210.82301 , 
0.0       , 11.92402  , 22.19343  , 0.06493   , 210.83466 , 
0.0       , 11.83453  , 22.28245  , 0.05328   , 210.84423 , 
0.0       , 11.7454   , 22.37111  , 0.04371   , 210.85208 , 
0.0       , 11.65663  , 22.4594   , 0.03586   , 210.85853 , 
0.0       , 11.56824  , 22.54732  , 0.02942   , 210.86382 , 
0.0       , 11.48022  , 22.63487  , 0.02413   , 210.86816 , 
0.0       , 11.39257  , 22.72205  , 0.01979   , 210.87171 , 
0.0       , 11.30529  , 22.80885  , 0.01623   , 210.87463 , 
0.0       , 11.2184   , 22.89526  , 0.01331   , 210.87703 , 
0.0       , 11.13189  , 22.9813   , 0.01092   , 210.87899 , 
0.0       , 11.04576  , 23.06694  , 0.00895   , 210.8806  , 
